@Relation anxiety

@Attribute gsr NUMERIC
@Attribute tempe NUMERIC
@Attribute hr NUMERIC
@Attribute anxiety NUMERIC

@DATA
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
345.00, 35.45, 91.00, 40
353.00, 35.11, 91.00, 40
353.00, 35.11, 91.00, 40
353.00, 35.11, 91.00, 40
353.00, 35.11, 91.00, 40
353.00, 35.11, 91.00, 40
353.00, 35.11, 91.00, 40
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
353.00, 35.11, 91.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 30
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
360.00, 35.45, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
366.00, 35.35, 93.00, 20
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
372.00, 35.40, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
376.00, 35.45, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 30
379.00, 35.55, 93.00, 40
379.00, 35.55, 93.00, 40
379.00, 35.55, 93.00, 40
379.00, 35.55, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
381.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 40
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
384.00, 35.40, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 50
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
385.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
386.00, 35.64, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
388.00, 35.60, 93.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
389.00, 35.16, 85.00, 30
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 20
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
285.00, 33.01, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
296.00, 33.06, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
306.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
314.00, 32.96, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 30
321.00, 33.20, 84.00, 20
321.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
326.00, 33.20, 84.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
331.00, 33.35, 88.00, 20
